year;state;month;number
2019;Distrito Federal;Outubro;27
2020;Distrito Federal;Outubro;39
2021;Distrito Federal;Outubro;7
2022;Distrito Federal;Outubro;10
2012;Distrito Federal;Novembro;0
2013;Distrito Federal;Novembro;0
2014;Distrito Federal;Novembro;0
2015;Distrito Federal;Novembro;2
2016;Distrito Federal;Novembro;1
2017;Distrito Federal;Novembro;0
2018;Distrito Federal;Novembro;0
2019;Distrito Federal;Novembro;0
2020;Distrito Federal;Novembro;1
2021;Distrito Federal;Novembro;0
2022;Distrito Federal;Novembro;0
2012;Distrito Federal;Dezembro;0
2013;Distrito Federal;Dezembro;2
2014;Distrito Federal;Dezembro;0
2015;Distrito Federal;Dezembro;0
2016;Distrito Federal;Dezembro;0
2017;Distrito Federal;Dezembro;0
2018;Distrito Federal;Dezembro;0
2019;Distrito Federal;Dezembro;0
2020;Distrito Federal;Dezembro;1
2021;Distrito Federal;Dezembro;0
2022;Distrito Federal;Dezembro;0
2012;Espirito Santo;Janeiro;0
2013;Espirito Santo;Janeiro;14
2014;Espirito Santo;Janeiro;11
2015;Espirito Santo;Janeiro;77
2016;Espirito Santo;Janeiro;37
2017;Espirito Santo;Janeiro;14
2018;Espirito Santo;Janeiro;6
2019;Espirito Santo;Janeiro;25
2020;Espirito Santo;Janeiro;10
2021;Espirito Santo;Janeiro;44
2022;Espirito Santo;Janeiro;11
2012;Espirito Santo;Fevereiro;27
2013;Espirito Santo;Fevereiro;21
2014;Espirito Santo;Fevereiro;16
2015;Espirito Santo;Fevereiro;59
2016;Espirito Santo;Fevereiro;19
2017;Espirito Santo;Fevereiro;7
2018;Espirito Santo;Fevereiro;1
2019;Espirito Santo;Fevereiro;32
2020;Espirito Santo;Fevereiro;11
2021;Espirito Santo;Fevereiro;13
2022;Espirito Santo;Fevereiro;5
2012;Espirito Santo;Março;38
2013;Espirito Santo;Março;18
2014;Espirito Santo;Março;15
2015;Espirito Santo;Março;23
2016;Espirito Santo;Março;103
2017;Espirito Santo;Março;9
2018;Espirito Santo;Março;9
2019;Espirito Santo;Março;22
2020;Espirito Santo;Março;6
2021;Espirito Santo;Março;45
2022;Espirito Santo;Março;25
2012;Espirito Santo;Abril;76
2013;Espirito Santo;Abril;19
2014;Espirito Santo;Abril;8
2015;Espirito Santo;Abril;25
2016;Espirito Santo;Abril;49
2017;Espirito Santo;Abril;7
2018;Espirito Santo;Abril;7
2019;Espirito Santo;Abril;21
2020;Espirito Santo;Abril;8
2021;Espirito Santo;Abril;25
2022;Espirito Santo;Abril;21
2012;Espirito Santo;Maio;25
2013;Espirito Santo;Maio;13
2014;Espirito Santo;Maio;15
2015;Espirito Santo;Maio;11
2016;Espirito Santo;Maio;42
2017;Espirito Santo;Maio;9
2018;Espirito Santo;Maio;4
2019;Espirito Santo;Maio;10
2020;Espirito Santo;Maio;11
2021;Espirito Santo;Maio;47
2022;Espirito Santo;Maio;26
2012;Espirito Santo;Junho;21
2013;Espirito Santo;Junho;24
2014;Espirito Santo;Junho;8
2015;Espirito Santo;Junho;16
2016;Espirito Santo;Junho;45
2017;Espirito Santo;Junho;23
2018;Espirito Santo;Junho;12
2019;Espirito Santo;Junho;19
2020;Espirito Santo;Junho;51
2021;Espirito Santo;Junho;26
2022;Espirito Santo;Junho;53
2012;Espirito Santo;Julho;45
2013;Espirito Santo;Julho;29
2014;Espirito Santo;Julho;11
2015;Espirito Santo;Julho;25
2016;Espirito Santo;Julho;38
2017;Espirito Santo;Julho;3
2018;Espirito Santo;Julho;41
2019;Espirito Santo;Julho;78
2020;Espirito Santo;Julho;34
2021;Espirito Santo;Julho;85
2022;Espirito Santo;Julho;57
2012;Espirito Santo;Agosto;17
2013;Espirito Santo;Agosto;58
2014;Espirito Santo;Agosto;36
2015;Espirito Santo;Agosto;28
2016;Espirito Santo;Agosto;75
2017;Espirito Santo;Agosto;26
2018;Espirito Santo;Agosto;9
2019;Espirito Santo;Agosto;35
2020;Espirito Santo;Agosto;25
2021;Espirito Santo;Agosto;92
2022;Espirito Santo;Agosto;85
2012;Espirito Santo;Setembro;39
2013;Espirito Santo;Setembro;28
2014;Espirito Santo;Setembro;52
2015;Espirito Santo;Setembro;198
2016;Espirito Santo;Setembro;112
2017;Espirito Santo;Setembro;31
2018;Espirito Santo;Setembro;51
2019;Espirito Santo;Setembro;171
2020;Espirito Santo;Setembro;131
2021;Espirito Santo;Setembro;123
2022;Espirito Santo;Setembro;87
2012;Espirito Santo;Outubro;66
2013;Espirito Santo;Outubro;32
2014;Espirito Santo;Outubro;82
2015;Espirito Santo;Outubro;290
2016;Espirito Santo;Outubro;60
2017;Espirito Santo;Outubro;46
2018;Espirito Santo;Outubro;36
2019;Espirito Santo;Outubro;73
2020;Espirito Santo;Outubro;82
2021;Espirito Santo;Outubro;38
2022;Espirito Santo;Outubro;93
2012;Espirito Santo;Novembro;7
2013;Espirito Santo;Novembro;11
2014;Espirito Santo;Novembro;17
2015;Espirito Santo;Novembro;131
2016;Espirito Santo;Novembro;7
2017;Espirito Santo;Novembro;12
2018;Espirito Santo;Novembro;11
2019;Espirito Santo;Novembro;123
2020;Espirito Santo;Novembro;10
2021;Espirito Santo;Novembro;9
2022;Espirito Santo;Novembro;5
2012;Espirito Santo;Dezembro;23
2013;Espirito Santo;Dezembro;8
2014;Espirito Santo;Dezembro;25
2015;Espirito Santo;Dezembro;57
2016;Espirito Santo;Dezembro;12
2017;Espirito Santo;Dezembro;0
2018;Espirito Santo;Dezembro;18
2019;Espirito Santo;Dezembro;13
2020;Espirito Santo;Dezembro;22
2021;Espirito Santo;Dezembro;2
2022;Espirito Santo;Dezembro;6
2012;Goias;Janeiro;22
2013;Goias;Janeiro;43
2014;Goias;Janeiro;60
2015;Goias;Janeiro;105
2016;Goias;Janeiro;27
2017;Goias;Janeiro;46
2018;Goias;Janeiro;54
2019;Goias;Janeiro;129
2020;Goias;Janeiro;60
2021;Goias;Janeiro;63
2022;Goias;Janeiro;69
2012;Goias;Fevereiro;29
2013;Goias;Fevereiro;67
2014;Goias;Fevereiro;34
2015;Goias;Fevereiro;43
2016;Goias;Fevereiro;69
2017;Goias;Fevereiro;64
2018;Goias;Fevereiro;41
2019;Goias;Fevereiro;88
2020;Goias;Fevereiro;92
2021;Goias;Fevereiro;89
2022;Goias;Fevereiro;96
2012;Goias;Março;71
2013;Goias;Março;74
2014;Goias;Março;54
2015;Goias;Março;48
2016;Goias;Março;107
2017;Goias;Março;91
2018;Goias;Março;113
2019;Goias;Março;138
2020;Goias;Março;124
2021;Goias;Março;86
2022;Goias;Março;120
2012;Goias;Abril;116
2013;Goias;Abril;61
2014;Goias;Abril;117
2015;Goias;Abril;58
2016;Goias;Abril;152
2017;Goias;Abril;58
2018;Goias;Abril;74
2019;Goias;Abril;83
2020;Goias;Abril;156
2021;Goias;Abril;110
2022;Goias;Abril;124
2012;Goias;Maio;123
2013;Goias;Maio;187
2014;Goias;Maio;197
2015;Goias;Maio;117
2016;Goias;Maio;210
2017;Goias;Maio;138
2018;Goias;Maio;181
2019;Goias;Maio;134
2020;Goias;Maio;150
2021;Goias;Maio;255
2022;Goias;Maio;415
2012;Goias;Junho;254
2013;Goias;Junho;202
2014;Goias;Junho;302
2015;Goias;Junho;263
2016;Goias;Junho;261
2017;Goias;Junho;308
2018;Goias;Junho;183
2019;Goias;Junho;217
2020;Goias;Junho;314
2021;Goias;Junho;401
2022;Goias;Junho;394
2012;Goias;Julho;556
2013;Goias;Julho;356
2014;Goias;Julho;424
2015;Goias;Julho;320
2016;Goias;Julho;815
2017;Goias;Julho;433
2018;Goias;Julho;405
2019;Goias;Julho;403
2020;Goias;Julho;402
2021;Goias;Julho;627
2022;Goias;Julho;553
2012;Goias;Agosto;899
2013;Goias;Agosto;527
2014;Goias;Agosto;1.201
2015;Goias;Agosto;876
2016;Goias;Agosto;1.038
2017;Goias;Agosto;1.109
2018;Goias;Agosto;518
2019;Goias;Agosto;698
2020;Goias;Agosto;964
2021;Goias;Agosto;1.056
2022;Goias;Agosto;975
2012;Goias;Setembro;2.334
2013;Goias;Setembro;735
2014;Goias;Setembro;1.568
2015;Goias;Setembro;2.033
2016;Goias;Setembro;1.571
2017;Goias;Setembro;2.155
2018;Goias;Setembro;1070
2019;Goias;Setembro;4.149
2020;Goias;Setembro;1.825
2021;Goias;Setembro;2.634
2022;Goias;Setembro;1.151
2012;Goias;Outubro;1450
2013;Goias;Outubro;567
2014;Goias;Outubro;1.728
2015;Goias;Outubro;1.607
2016;Goias;Outubro;488
2017;Goias;Outubro;1.858
2018;Goias;Outubro;345
2019;Goias;Outubro;873
2020;Goias;Outubro;1.622
2021;Goias;Outubro;576
2022;Goias;Outubro;752
2012;Goias;Novembro;64
2013;Goias;Novembro;162
2014;Goias;Novembro;160
2015;Goias;Novembro;490
2016;Goias;Novembro;115
2017;Goias;Novembro;125
2018;Goias;Novembro;36
2019;Goias;Novembro;160
2020;Goias;Novembro;229
2021;Goias;Novembro;71
2022;Goias;Novembro;119
2012;Goias;Dezembro;113
2013;Goias;Dezembro;69
2014;Goias;Dezembro;52
2015;Goias;Dezembro;147
2016;Goias;Dezembro;59
2017;Goias;Dezembro;43
2018;Goias;Dezembro;90
2019;Goias;Dezembro;88
2020;Goias;Dezembro;70
2021;Goias;Dezembro;52
2022;Goias;Dezembro;28
2012;Maranhão;Janeiro;461
2013;Maranhão;Janeiro;316
2014;Maranhão;Janeiro;291
2015;Maranhão;Janeiro;458
2016;Maranhão;Janeiro;395
2017;Maranhão;Janeiro;178
2018;Maranhão;Janeiro;281
2019;Maranhão;Janeiro;712
2020;Maranhão;Janeiro;86
2021;Maranhão;Janeiro;228
2022;Maranhão;Janeiro;185
2012;Maranhão;Fevereiro;84
2013;Maranhão;Fevereiro;72
2014;Maranhão;Fevereiro;17
2015;Maranhão;Fevereiro;78
2016;Maranhão;Fevereiro;268
2017;Maranhão;Fevereiro;44
2018;Maranhão;Fevereiro;15
2019;Maranhão;Fevereiro;74
2020;Maranhão;Fevereiro;72
2021;Maranhão;Fevereiro;128
2022;Maranhão;Fevereiro;92
2012;Maranhão;Março;54
2013;Maranhão;Março;45
2014;Maranhão;Março;40
2015;Maranhão;Março;41
2016;Maranhão;Março;70
2017;Maranhão;Março;32
2018;Maranhão;Março;93
2019;Maranhão;Março;57
2020;Maranhão;Março;39
2021;Maranhão;Março;62
2022;Maranhão;Março;44
2012;Maranhão;Abril;114
2013;Maranhão;Abril;83
2014;Maranhão;Abril;66
2015;Maranhão;Abril;103
2016;Maranhão;Abril;103
2017;Maranhão;Abril;90
2018;Maranhão;Abril;50
2019;Maranhão;Abril;63
2020;Maranhão;Abril;93
2021;Maranhão;Abril;96
2022;Maranhão;Abril;66
2012;Maranhão;Maio;370
2013;Maranhão;Maio;132
2014;Maranhão;Maio;140
2015;Maranhão;Maio;184
2016;Maranhão;Maio;186
2017;Maranhão;Maio;157
2018;Maranhão;Maio;203
2019;Maranhão;Maio;139
2020;Maranhão;Maio;231
2021;Maranhão;Maio;471
2022;Maranhão;Maio;454
2012;Maranhão;Junho;987
2013;Maranhão;Junho;603
2014;Maranhão;Junho;786
2015;Maranhão;Junho;850
2016;Maranhão;Junho;693
2017;Maranhão;Junho;644
2018;Maranhão;Junho;738
2019;Maranhão;Junho;749
2020;Maranhão;Junho;757
2021;Maranhão;Junho;979
2022;Maranhão;Junho;917
2012;Maranhão;Julho;3.693
2013;Maranhão;Julho;1.332
2014;Maranhão;Julho;2.027
2015;Maranhão;Julho;1.616
2016;Maranhão;Julho;2.182
2017;Maranhão;Julho;1.973
2018;Maranhão;Julho;1.457
2019;Maranhão;Julho;1.078
2020;Maranhão;Julho;1.871
2021;Maranhão;Julho;1.507
2022;Maranhão;Julho;2170
2012;Maranhão;Agosto;10.519
2013;Maranhão;Agosto;2.374
2014;Maranhão;Agosto;5.338
2015;Maranhão;Agosto;5.411
2016;Maranhão;Agosto;3.849
2017;Maranhão;Agosto;3.001
2018;Maranhão;Agosto;2.833
2019;Maranhão;Agosto;3.366
2020;Maranhão;Agosto;2.162
2021;Maranhão;Agosto;3.322
2022;Maranhão;Agosto;3.473
2012;Maranhão;Setembro;7.376
2013;Maranhão;Setembro;4.312
2014;Maranhão;Setembro;4.357
2015;Maranhão;Setembro;5.502
2016;Maranhão;Setembro;3.109
2017;Maranhão;Setembro;9.243
2018;Maranhão;Setembro;3.177
2019;Maranhão;Setembro;3.667
2020;Maranhão;Setembro;4.403
2021;Maranhão;Setembro;2.469
2022;Maranhão;Setembro;4.166
2012;Maranhão;Outubro;5.911
2013;Maranhão;Outubro;3.221
2014;Maranhão;Outubro;5.574
2015;Maranhão;Outubro;6.387
2016;Maranhão;Outubro;5.617
2017;Maranhão;Outubro;4.538
2018;Maranhão;Outubro;1.832
2019;Maranhão;Outubro;3.645
2020;Maranhão;Outubro;3.394
2021;Maranhão;Outubro;3.069
2022;Maranhão;Outubro;4.495
2012;Maranhão;Novembro;2.644
2013;Maranhão;Novembro;2.368
2014;Maranhão;Novembro;3710
2015;Maranhão;Novembro;4.159
2016;Maranhão;Novembro;3.826
2017;Maranhão;Novembro;2.706
2018;Maranhão;Novembro;2.309
2019;Maranhão;Novembro;3.158
2020;Maranhão;Novembro;2.481
2021;Maranhão;Novembro;2.502
2022;Maranhão;Novembro;2.621
2012;Maranhão;Dezembro;2.086
2013;Maranhão;Dezembro;2.597
2014;Maranhão;Dezembro;2.329
2015;Maranhão;Dezembro;3.647
2016;Maranhão;Dezembro;1.491
2017;Maranhão;Dezembro;2970
2018;Maranhão;Dezembro;904
2019;Maranhão;Dezembro;1.813
2020;Maranhão;Dezembro;1.228
2021;Maranhão;Dezembro;1.244
2022;Maranhão;Dezembro;1.541
2012;Mato Grosso;Janeiro;179
2013;Mato Grosso;Janeiro;276
2014;Mato Grosso;Janeiro;244
2015;Mato Grosso;Janeiro;720
2016;Mato Grosso;Janeiro;300
2017;Mato Grosso;Janeiro;457
2018;Mato Grosso;Janeiro;317
2019;Mato Grosso;Janeiro;576
2020;Mato Grosso;Janeiro;768
2021;Mato Grosso;Janeiro;479
2022;Mato Grosso;Janeiro;556
2012;Mato Grosso;Fevereiro;200
2013;Mato Grosso;Fevereiro;374
2014;Mato Grosso;Fevereiro;134
2015;Mato Grosso;Fevereiro;396
2016;Mato Grosso;Fevereiro;763
2017;Mato Grosso;Fevereiro;295
2018;Mato Grosso;Fevereiro;266
2019;Mato Grosso;Fevereiro;709
2020;Mato Grosso;Fevereiro;806
2021;Mato Grosso;Fevereiro;578
2022;Mato Grosso;Fevereiro;472
2012;Mato Grosso;Março;419
2013;Mato Grosso;Março;636
2014;Mato Grosso;Março;481
2015;Mato Grosso;Março;517
2016;Mato Grosso;Março;934
2017;Mato Grosso;Março;698
2018;Mato Grosso;Março;766
2019;Mato Grosso;Março;1.188
2020;Mato Grosso;Março;1270
2021;Mato Grosso;Março;518
2022;Mato Grosso;Março;543
2012;Mato Grosso;Abril;560
2013;Mato Grosso;Abril;411
2014;Mato Grosso;Abril;658
2015;Mato Grosso;Abril;638
2016;Mato Grosso;Abril;1.351
2017;Mato Grosso;Abril;708
2018;Mato Grosso;Abril;426
2019;Mato Grosso;Abril;708
2020;Mato Grosso;Abril;992
2021;Mato Grosso;Abril;631
2022;Mato Grosso;Abril;526
2012;Mato Grosso;Maio;958
2013;Mato Grosso;Maio;962
2014;Mato Grosso;Maio;803
2015;Mato Grosso;Maio;437
2016;Mato Grosso;Maio;929
2017;Mato Grosso;Maio;844
2018;Mato Grosso;Maio;985
2019;Mato Grosso;Maio;1.118
2020;Mato Grosso;Maio;951
2021;Mato Grosso;Maio;1.149
2022;Mato Grosso;Maio;2.533
2012;Mato Grosso;Junho;1.933
2013;Mato Grosso;Junho;1.388
2014;Mato Grosso;Junho;1.696
2015;Mato Grosso;Junho;1.328
2016;Mato Grosso;Junho;1.306
2017;Mato Grosso;Junho;1.476
2018;Mato Grosso;Junho;1.623
2019;Mato Grosso;Junho;2.151
2020;Mato Grosso;Junho;1960
2021;Mato Grosso;Junho;2.185
2022;Mato Grosso;Junho;2210
2012;Mato Grosso;Julho;2120
2013;Mato Grosso;Julho;1.711
2014;Mato Grosso;Julho;2.112
2015;Mato Grosso;Julho;1.461
2016;Mato Grosso;Julho;3.301
2017;Mato Grosso;Julho;2100
2018;Mato Grosso;Julho;1.816
2019;Mato Grosso;Julho;2.326
2020;Mato Grosso;Julho;2.429
2021;Mato Grosso;Julho;1.715
2022;Mato Grosso;Julho;1.919
2012;Mato Grosso;Agosto;6.429
2013;Mato Grosso;Agosto;3.739
2014;Mato Grosso;Agosto;6.418
2015;Mato Grosso;Agosto;4.498
2016;Mato Grosso;Agosto;6.168
2017;Mato Grosso;Agosto;4.578
2018;Mato Grosso;Agosto;2650
2019;Mato Grosso;Agosto;8030
2020;Mato Grosso;Agosto;10430
2021;Mato Grosso;Agosto;6.617
2022;Mato Grosso;Agosto;7.699
2012;Mato Grosso;Setembro;10620
2013;Mato Grosso;Setembro;5.915
2014;Mato Grosso;Setembro;6.569
2015;Mato Grosso;Setembro;8.933
2016;Mato Grosso;Setembro;8.284
2017;Mato Grosso;Setembro;14840
2018;Mato Grosso;Setembro;6.638
2019;Mato Grosso;Setembro;10.747
2020;Mato Grosso;Setembro;20.312
2021;Mato Grosso;Setembro;5.602
2022;Mato Grosso;Setembro;8.876
2012;Mato Grosso;Outubro;3.475
2013;Mato Grosso;Outubro;1.828
2014;Mato Grosso;Outubro;4.657
2015;Mato Grosso;Outubro;5730
2016;Mato Grosso;Outubro;2.715
2017;Mato Grosso;Outubro;3.738
2018;Mato Grosso;Outubro;1.711
2019;Mato Grosso;Outubro;1.774
2020;Mato Grosso;Outubro;5.259
2021;Mato Grosso;Outubro;2.358
2022;Mato Grosso;Outubro;1.548
2012;Mato Grosso;Novembro;488
2013;Mato Grosso;Novembro;906
2014;Mato Grosso;Novembro;836
2015;Mato Grosso;Novembro;1670
2016;Mato Grosso;Novembro;855
2017;Mato Grosso;Novembro;928
2018;Mato Grosso;Novembro;363
2019;Mato Grosso;Novembro;1.176
2020;Mato Grosso;Novembro;1.919
2021;Mato Grosso;Novembro;443
2022;Mato Grosso;Novembro;1.746
2012;Mato Grosso;Dezembro;572
2013;Mato Grosso;Dezembro;408
2014;Mato Grosso;Dezembro;347
2015;Mato Grosso;Dezembro;1.413
2016;Mato Grosso;Dezembro;399
2017;Mato Grosso;Dezembro;249
2018;Mato Grosso;Dezembro;471
2019;Mato Grosso;Dezembro;666
2020;Mato Grosso;Dezembro;612
2021;Mato Grosso;Dezembro;245
2022;Mato Grosso;Dezembro;411
2012;Mato Grosso do Sul;Janeiro;187
2013;Mato Grosso do Sul;Janeiro;161
2014;Mato Grosso do Sul;Janeiro;156
2015;Mato Grosso do Sul;Janeiro;176
2016;Mato Grosso do Sul;Janeiro;108
2017;Mato Grosso do Sul;Janeiro;322
2018;Mato Grosso do Sul;Janeiro;47
2019;Mato Grosso do Sul;Janeiro;542
2020;Mato Grosso do Sul;Janeiro;226
2021;Mato Grosso do Sul;Janeiro;44
2022;Mato Grosso do Sul;Janeiro;205
2012;Mato Grosso do Sul;Fevereiro;127
2013;Mato Grosso do Sul;Fevereiro;107
2014;Mato Grosso do Sul;Fevereiro;119
2015;Mato Grosso do Sul;Fevereiro;106
2016;Mato Grosso do Sul;Fevereiro;119
2017;Mato Grosso do Sul;Fevereiro;146
2018;Mato Grosso do Sul;Fevereiro;50
2019;Mato Grosso do Sul;Fevereiro;290
2020;Mato Grosso do Sul;Fevereiro;250
2021;Mato Grosso do Sul;Fevereiro;136
2022;Mato Grosso do Sul;Fevereiro;182
2012;Mato Grosso do Sul;Março;192
2013;Mato Grosso do Sul;Março;160
2014;Mato Grosso do Sul;Março;72
2015;Mato Grosso do Sul;Março;119
2016;Mato Grosso do Sul;Março;101
2017;Mato Grosso do Sul;Março;164
2018;Mato Grosso do Sul;Março;163
2019;Mato Grosso do Sul;Março;159
2020;Mato Grosso do Sul;Março;575
2021;Mato Grosso do Sul;Março;129
2022;Mato Grosso do Sul;Março;106
2012;Mato Grosso do Sul;Abril;105
2013;Mato Grosso do Sul;Abril;93
2014;Mato Grosso do Sul;Abril;113
2015;Mato Grosso do Sul;Abril;54
2016;Mato Grosso do Sul;Abril;141
2017;Mato Grosso do Sul;Abril;69
2018;Mato Grosso do Sul;Abril;94
2019;Mato Grosso do Sul;Abril;70
2020;Mato Grosso do Sul;Abril;813
2021;Mato Grosso do Sul;Abril;193
2022;Mato Grosso do Sul;Abril;100
2012;Mato Grosso do Sul;Maio;154
2013;Mato Grosso do Sul;Maio;96
2014;Mato Grosso do Sul;Maio;68
2015;Mato Grosso do Sul;Maio;54
2016;Mato Grosso do Sul;Maio;98
2017;Mato Grosso do Sul;Maio;69
2018;Mato Grosso do Sul;Maio;100
2019;Mato Grosso do Sul;Maio;113
2020;Mato Grosso do Sul;Maio;355
2021;Mato Grosso do Sul;Maio;215
2022;Mato Grosso do Sul;Maio;333
2012;Mato Grosso do Sul;Junho;110
2013;Mato Grosso do Sul;Junho;46
2014;Mato Grosso do Sul;Junho;81
2015;Mato Grosso do Sul;Junho;289
2016;Mato Grosso do Sul;Junho;132
2017;Mato Grosso do Sul;Junho;150
2018;Mato Grosso do Sul;Junho;131
2019;Mato Grosso do Sul;Junho;397
2020;Mato Grosso do Sul;Junho;508
2021;Mato Grosso do Sul;Junho;257
2022;Mato Grosso do Sul;Junho;191
2012;Mato Grosso do Sul;Julho;553
2013;Mato Grosso do Sul;Julho;226
2014;Mato Grosso do Sul;Julho;190
2015;Mato Grosso do Sul;Julho;355
2016;Mato Grosso do Sul;Julho;673
2017;Mato Grosso do Sul;Julho;817
2018;Mato Grosso do Sul;Julho;333
2019;Mato Grosso do Sul;Julho;748
2020;Mato Grosso do Sul;Julho;1.305
2021;Mato Grosso do Sul;Julho;916
2022;Mato Grosso do Sul;Julho;443
2012;Mato Grosso do Sul;Agosto;2.782
2013;Mato Grosso do Sul;Agosto;715
2014;Mato Grosso do Sul;Agosto;296
2015;Mato Grosso do Sul;Agosto;1200
2016;Mato Grosso do Sul;Agosto;1.292
2017;Mato Grosso do Sul;Agosto;1.159
2018;Mato Grosso do Sul;Agosto;442
2019;Mato Grosso do Sul;Agosto;2430
2020;Mato Grosso do Sul;Agosto;2.508
2021;Mato Grosso do Sul;Agosto;2.646
2022;Mato Grosso do Sul;Agosto;230
2012;Mato Grosso do Sul;Setembro;2.166
2013;Mato Grosso do Sul;Setembro;1.088
2014;Mato Grosso do Sul;Setembro;343
2015;Mato Grosso do Sul;Setembro;1.263
2016;Mato Grosso do Sul;Setembro;2.292
2017;Mato Grosso do Sul;Setembro;2.084
2018;Mato Grosso do Sul;Setembro;642
2019;Mato Grosso do Sul;Setembro;3210
2020;Mato Grosso do Sul;Setembro;3.097
2021;Mato Grosso do Sul;Setembro;2.739
2022;Mato Grosso do Sul;Setembro;245
2012;Mato Grosso do Sul;Outubro;689
2013;Mato Grosso do Sul;Outubro;393
2014;Mato Grosso do Sul;Outubro;529
2015;Mato Grosso do Sul;Outubro;451
2016;Mato Grosso do Sul;Outubro;1070
2017;Mato Grosso do Sul;Outubro;541
2018;Mato Grosso do Sul;Outubro;124
2019;Mato Grosso do Sul;Outubro;2310
2020;Mato Grosso do Sul;Outubro;1.949
2021;Mato Grosso do Sul;Outubro;1.695
2022;Mato Grosso do Sul;Outubro;51
2012;Mato Grosso do Sul;Novembro;150
2013;Mato Grosso do Sul;Novembro;368
2014;Mato Grosso do Sul;Novembro;175
2015;Mato Grosso do Sul;Novembro;228
2016;Mato Grosso do Sul;Novembro;235
2017;Mato Grosso do Sul;Novembro;136
2018;Mato Grosso do Sul;Novembro;56
2019;Mato Grosso do Sul;Novembro;1.243
2020;Mato Grosso do Sul;Novembro;299
2021;Mato Grosso do Sul;Novembro;205
2022;Mato Grosso do Sul;Novembro;100
2012;Mato Grosso do Sul;Dezembro;213
2013;Mato Grosso do Sul;Dezembro;162
2014;Mato Grosso do Sul;Dezembro;72
2015;Mato Grosso do Sul;Dezembro;322
2016;Mato Grosso do Sul;Dezembro;112
2017;Mato Grosso do Sul;Dezembro;80
2018;Mato Grosso do Sul;Dezembro;198
2019;Mato Grosso do Sul;Dezembro;141
2020;Mato Grosso do Sul;Dezembro;195
2021;Mato Grosso do Sul;Dezembro;202
2022;Mato Grosso do Sul;Dezembro;182
2012;Minas Gerais;Janeiro;90
2013;Minas Gerais;Janeiro;93
2014;Minas Gerais;Janeiro;130
2015;Minas Gerais;Janeiro;127
2016;Minas Gerais;Janeiro;37
2017;Minas Gerais;Janeiro;99
2018;Minas Gerais;Janeiro;62
2019;Minas Gerais;Janeiro;142
2020;Minas Gerais;Janeiro;80
2021;Minas Gerais;Janeiro;96
2022;Minas Gerais;Janeiro;110
2012;Minas Gerais;Fevereiro;140
2013;Minas Gerais;Fevereiro;161
2014;Minas Gerais;Fevereiro;121
2015;Minas Gerais;Fevereiro;69
2016;Minas Gerais;Fevereiro;127
2017;Minas Gerais;Fevereiro;54
2018;Minas Gerais;Fevereiro;60
2019;Minas Gerais;Fevereiro;111
2020;Minas Gerais;Fevereiro;114
2021;Minas Gerais;Fevereiro;40
2022;Minas Gerais;Fevereiro;66
2012;Minas Gerais;Março;181
2013;Minas Gerais;Março;136
2014;Minas Gerais;Março;62
2015;Minas Gerais;Março;62
2016;Minas Gerais;Março;91
2017;Minas Gerais;Março;99
2018;Minas Gerais;Março;107
2019;Minas Gerais;Março;127
2020;Minas Gerais;Março;82
2021;Minas Gerais;Março;230
2022;Minas Gerais;Março;190
2012;Minas Gerais;Abril;201
2013;Minas Gerais;Abril;80
2014;Minas Gerais;Abril;145
2015;Minas Gerais;Abril;85
2016;Minas Gerais;Abril;166
2017;Minas Gerais;Abril;67
2018;Minas Gerais;Abril;56
2019;Minas Gerais;Abril;85
2020;Minas Gerais;Abril;83
2021;Minas Gerais;Abril;150
2022;Minas Gerais;Abril;143
2012;Minas Gerais;Maio;178
2013;Minas Gerais;Maio;182
2014;Minas Gerais;Maio;208
2015;Minas Gerais;Maio;109
2016;Minas Gerais;Maio;178
2017;Minas Gerais;Maio;124
2018;Minas Gerais;Maio;153
2019;Minas Gerais;Maio;143
2020;Minas Gerais;Maio;166
2021;Minas Gerais;Maio;382
2022;Minas Gerais;Maio;319
2012;Minas Gerais;Junho;245
2013;Minas Gerais;Junho;191
2014;Minas Gerais;Junho;344
2015;Minas Gerais;Junho;192
2016;Minas Gerais;Junho;241
2017;Minas Gerais;Junho;233
2018;Minas Gerais;Junho;201
2019;Minas Gerais;Junho;322
2020;Minas Gerais;Junho;272
2021;Minas Gerais;Junho;519
2022;Minas Gerais;Junho;665
2012;Minas Gerais;Julho;701
2013;Minas Gerais;Julho;512
2014;Minas Gerais;Julho;537
2015;Minas Gerais;Julho;272
2016;Minas Gerais;Julho;986
2017;Minas Gerais;Julho;471
2018;Minas Gerais;Julho;557
2019;Minas Gerais;Julho;808
2020;Minas Gerais;Julho;536
2021;Minas Gerais;Julho;1.302
2022;Minas Gerais;Julho;990
2012;Minas Gerais;Agosto;919
2013;Minas Gerais;Agosto;933
2014;Minas Gerais;Agosto;1.791
2015;Minas Gerais;Agosto;962
2016;Minas Gerais;Agosto;1.563
2017;Minas Gerais;Agosto;1610
2018;Minas Gerais;Agosto;553
2019;Minas Gerais;Agosto;1.369
2020;Minas Gerais;Agosto;1.155
2021;Minas Gerais;Agosto;1.941
2022;Minas Gerais;Agosto;1120
2012;Minas Gerais;Setembro;2.919
2013;Minas Gerais;Setembro;1.618
2014;Minas Gerais;Setembro;3.154
2015;Minas Gerais;Setembro;2.631
2016;Minas Gerais;Setembro;1.979
2017;Minas Gerais;Setembro;3.084
